epoch,loss,mse,psnr,ssim
1,0.0815748951943784,0.0815748951943784,11.356233843441668,0.3331952061364318
2,0.029424964546643454,0.029424964546643454,15.441556930541992,0.7591317931644109
3,0.016039583270020526,0.016039583270020526,17.972141463181067,0.8711958037367675
4,0.012245348269312546,0.012245348269312546,19.126280061129865,0.8992722196456415
5,0.010720959800327647,0.010720959800327647,19.700282853225183,0.9109818204719189
6,0.0098988542429589,0.0098988542429589,20.045238363331762,0.9177373927057069
7,0.009363008406141708,0.009363008406141708,20.286565977951575,0.922128898561295
8,0.008992799300828884,0.008992799300828884,20.46165081550335,0.9251177918983452
9,0.008721006038630831,0.008721006038630831,20.594884116074134,0.9273102515847972
10,0.008494779194608844,0.008494779194608844,20.709135187083277,0.9291847505950507
11,0.008330984603099782,0.008330984603099782,20.793496197667615,0.9305589148611566
12,0.008209083494248575,0.008209083494248575,20.857492183816845,0.9316835194515424
13,0.008081925406666666,0.008081925406666666,20.925313982470282,0.9327186503429096
14,0.007994386471872186,0.007994386471872186,20.97270791283969,0.9334298141209264
15,0.007937317224347899,0.007937317224347899,21.00370476163667,0.9338290093005636
16,0.007889456356522339,0.007889456356522339,21.029989637177565,0.9341473166459279
17,0.007868727307830906,0.007868727307830906,21.041470330337,0.9343828625515996
18,0.007836073420235309,0.007836073420235309,21.059552061146704,0.9347479313576735
19,0.007816508492647574,0.007816508492647574,21.070329600367053,0.9347528332066678
20,0.007825655822545803,0.007825655822545803,21.06540157055033,0.934739097117402
